rank,id,county_name,media_market,enrollment_score
105,162c71eba02affbf11914cbbc31a6bf3,brazoria,houston tx,0.9314958279559686
106,10f63f3eb1bdee2fc793cd1ff94b64f0,harris,houston tx,0.9309267173160476
107,98872f0ea5b4d69eed827d60248c7031,harris,houston tx,0.929978637257542
108,8cd7ddd9aa0b93fd8310c07f1c22f964,brazoria,houston tx,0.9292066758296226
109,2776f1caaf61fbf6e97c843fbe42d074,harris,houston tx,0.9287235435217351
110,1e35b7c4cd3aab25556fcfd43c727712,galveston,houston tx,0.9278994377445241
111,85a16333cf616f9dbd75a4702dbd728d,harris,houston tx,0.9267596880184945
112,cb8ed540b1ee374752cf343157d93635,harris,houston tx,0.9260194581563443
113,0aa9c707b6fbc823748748e255086df3,harris,houston tx,0.925698679943714
114,37ad319f2e17b1c1f9f26e7a508fdb11,harris,houston tx,0.9252744691828101
115,623450fc73374034611d3e83457f6ffb,harris,houston tx,0.9250526334636735
116,cc64abb55a8830a5f4e90d2c27ef29df,fort bend,houston tx,0.9246987866016795
117,44367f04838156972427433d62ec0321,brazoria,houston tx,0.9245834704728761
118,50c0844960c47f3d1165041660b5c634,harris,houston tx,0.9239379984636273
119,b3e2ffd17b6141f61e0df3a533f215aa,galveston,houston tx,0.9224790837910821
120,7b170ab7702fdbdfb1d1bdf9df6bdea0,harris,houston tx,0.9217288061831725
121,d895b96ee741ef05e605f5403fb95d06,harris,houston tx,0.9189768149108077
122,36111781fbe35148c3c3394aef9fcaf9,harris,houston tx,0.9186141800175622
123,70a380be03804f35e5436af49768fbdf,brazoria,houston tx,0.9182621900262986
124,cef23d1b35f30c655b78b66d1558489c,harris,houston tx,0.9168785525961445
125,1849e3720fe12e2f2bbc47dd968671af,fort bend,houston tx,0.9158208869003177
126,221dded9b7169b9bf1db9469d15da446,brazoria,houston tx,0.91508011227375
127,cec7aa5ec7353d4c994533b01c74f536,harris,houston tx,0.9130869221796349
128,255259345d9b208eba6eff5fba054e47,harris,houston tx,0.9126731131053605
129,0ce6bc68329eca0695bc690c5b70a79c,harris,houston tx,0.9080907977129898
130,2e0134ec26e938b7c41c3fcedb20e88f,harris,houston tx,0.9077884217769339
131,7e592c8530d4d45c02382efc7570f3c7,fort bend,houston tx,0.9077629857332176
132,bab3760b08ddfd9606a5892bb8ca6014,harris,houston tx,0.9064112919216851
133,6b73826329f332c8ecb508ce4fe82d5a,polk,houston tx,0.9056547982350049
134,2117dee0088291f8c3999d9b46cd0eb2,brazoria,houston tx,0.9049751476408996
135,9e42e62953ba16bcc0d0ee2958408bb4,harris,houston tx,0.9042008236306185
136,20f810fe2d83ef0fcfd3c4a37f6ae203,harris,houston tx,0.9038361243342834
137,4dc4cb06dea743081e63b5d58d03e051,harris,houston tx,0.902496516543563
